claim,paper_eligibility,statistical_integrity,reason
C1.1,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C1.2,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C1.3,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C1.4,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C1.5,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C1.6,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C1.7,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C1.8,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C1.9,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C2.1,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C2.2,APPENDIX_ONLY,NOT_TESTED_OR_EXCLUDED,Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.
C2.3,ELIGIBLE_SUPPORTING,NOT_TESTED_OR_EXCLUDED,Audited implementation/supporting fact; not an independent empirical contribution.
C2.4,APPENDIX_ONLY,NOT_TESTED_OR_EXCLUDED,Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.
C2.5,APPENDIX_ONLY,NOT_TESTED_OR_EXCLUDED,Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.
C2.6,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Superseded, invalid, out of scope, or explicitly excluded by the C1 audit."
C3.1,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Predictive cost-model evidence is synthetic, descriptive, circular, or lacks provenance/held-out uncertainty; C3 rescue is waived."
C3.2,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Predictive cost-model evidence is synthetic, descriptive, circular, or lacks provenance/held-out uncertainty; C3 rescue is waived."
C3.3,APPENDIX_ONLY,NOT_TESTED_OR_EXCLUDED,Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.
C3.4,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Predictive cost-model evidence is synthetic, descriptive, circular, or lacks provenance/held-out uncertainty; C3 rescue is waived."
C3.5,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Predictive cost-model evidence is synthetic, descriptive, circular, or lacks provenance/held-out uncertainty; C3 rescue is waived."
