claim_id,replacement_of,claim_type,protocol,treatment,comparator,effect_direction,unit,independent_unit,nested_unit,n,filtering,summary,ci_method,statistical_family,multiplicity,original_grade,x5_5_decision,paper_eligibility,inference_scope
C1.1,,confirmatory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,B,REMOVE,NOT_ELIGIBLE,C1 audit scope only
C1.2,,confirmatory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,C1_joint_primary,Bonferroni 97.5% for joint E1/E2,A,REMOVE,NOT_ELIGIBLE,six paired seeds on FB15k-237/RTX3070; no quality or generalization claim
C1.3,,confirmatory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,C1_joint_primary,Bonferroni 97.5% for joint E1/E2,A,REMOVE,NOT_ELIGIBLE,six paired seeds on FB15k-237/RTX3070; no quality or generalization claim
C1.4,,confirmatory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,B,REMOVE,NOT_ELIGIBLE,C1 audit scope only
C1.5,,confirmatory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,C1 audit scope only
C1.6,,confirmatory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,C1 audit scope only
C1.7,,secondary descriptive,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,REMOVE,NOT_ELIGIBLE,GPU full-batch component timing only
C1.8,,confirmatory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,C1 audit scope only
C1.9,,confirmatory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,C1 audit scope only
C2.1,,implementation fact,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,REMOVE,NOT_ELIGIBLE,interface/source scope only
C2.2,,implementation fact,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,B,APPENDIX,APPENDIX_ONLY,interface/source scope only
