claim,original_claim,lineage_status,audit_grade,claim_family,decision,paper_destination,x6_5_disposition,allowed_wording,prohibited_use,decision_rationale,source_audit
C1.1,C1.1,INVENTORY,B,C1_nonprimary,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 2
C1.2,C1.2,INVENTORY,A,C1_joint_primary,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 2
C1.3,C1.3,INVENTORY,A,C1_joint_primary,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 2
C1.4,C1.4,INVENTORY,B,C1_nonprimary,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 2
C1.5,C1.5,INVENTORY,C,C1_nonprimary,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 2
C1.6,C1.6,INVENTORY,C,C1_nonprimary,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 2
C1.7,C1.7,INVENTORY,A,C1_nonprimary,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 2
C1.8,C1.8,INVENTORY,C,C1_nonprimary,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 2
C1.9,C1.9,INVENTORY,C,C1_nonprimary,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 2
C2.1,C2.1,INVENTORY,A,C2_implementation,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 3
C2.2,C2.2,INVENTORY,B,C2_implementation,APPENDIX,appendix,NOT_APPLICABLE,"Appendix-only implementation fact, protocol limitation, or negative reanalysis; no contribution claim.","Do not use as primary evidence, causal evidence, predictive validity, generalization, or independent replication.",Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.,Part 3
C2.3,C2.3,INVENTORY,A,C2_implementation,RETAIN_SUPPORTING,method_or_results,NOT_APPLICABLE,CPU and GPU configured paths consume the shared Scheduler/BatchProvider boundary while backend selection remains explicit in the training loop.,"Do not imply quality equivalence, non-inferiority, generalization, DDP readiness, or hardware portability.",Audited implementation/supporting fact; not an independent empirical contribution.,Part 3
C2.4,C2.4,INVENTORY,A,C2_implementation,APPENDIX,appendix,NOT_APPLICABLE,"Appendix-only implementation fact, protocol limitation, or negative reanalysis; no contribution claim.","Do not use as primary evidence, causal evidence, predictive validity, generalization, or independent replication.",Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.,Part 3
C2.5,C2.5,INVENTORY,A,C2_implementation,APPENDIX,appendix,NOT_APPLICABLE,"Appendix-only implementation fact, protocol limitation, or negative reanalysis; no contribution claim.","Do not use as primary evidence, causal evidence, predictive validity, generalization, or independent replication.",Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.,Part 3
C2.6,C2.6,INVENTORY,D,C2_implementation,REMOVE,none,NOT_APPLICABLE,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Superseded, invalid, out of scope, or explicitly excluded by the C1 audit.",Part 3
C3.1,C3.1,INVENTORY,C,C3_exploratory_or_implementation,REMOVE,none,WAIVED,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Predictive cost-model evidence is synthetic, descriptive, circular, or lacks provenance/held-out uncertainty; C3 rescue is waived.",Part 4
C3.2,C3.2,INVENTORY,C,C3_exploratory_or_implementation,REMOVE,none,WAIVED,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Predictive cost-model evidence is synthetic, descriptive, circular, or lacks provenance/held-out uncertainty; C3 rescue is waived.",Part 4
C3.3,C3.3,INVENTORY,A,C3_exploratory_or_implementation,APPENDIX,appendix,WAIVED,"Appendix-only implementation fact, protocol limitation, or negative reanalysis; no contribution claim.","Do not use as primary evidence, causal evidence, predictive validity, generalization, or independent replication.",Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.,Part 4
C3.4,C3.4,INVENTORY,C,C3_exploratory_or_implementation,REMOVE,none,WAIVED,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Predictive cost-model evidence is synthetic, descriptive, circular, or lacks provenance/held-out uncertainty; C3 rescue is waived.",Part 4
C3.5,C3.5,INVENTORY,D,C3_exploratory_or_implementation,REMOVE,none,WAIVED,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.","Predictive cost-model evidence is synthetic, descriptive, circular, or lacks provenance/held-out uncertainty; C3 rescue is waived.",Part 4
C3.6,C3.6,INVENTORY,A,C3_exploratory_or_implementation,APPENDIX,appendix,WAIVED,"Appendix-only implementation fact, protocol limitation, or negative reanalysis; no contribution claim.","Do not use as primary evidence, causal evidence, predictive validity, generalization, or independent replication.",Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.,Part 4
C4.1,C4.1,INVENTORY,B,C4_exploratory_or_implementation,REMOVE,none,WAIVED,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.",Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.,Part 5
C4.2,C4.2,INVENTORY,A,C4_exploratory_or_implementation,APPENDIX,appendix,WAIVED,"Appendix-only implementation fact, protocol limitation, or negative reanalysis; no contribution claim.","Do not use as primary evidence, causal evidence, predictive validity, generalization, or independent replication.",Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.,Part 5
C4.3,C4.3,INVENTORY,B,C4_exploratory_or_implementation,REMOVE,none,WAIVED,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.",Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.,Part 5
C4.4,C4.4,INVENTORY,C,C4_exploratory_or_implementation,REMOVE,none,WAIVED,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.",Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.,Part 5
C4.5,C4.5,INVENTORY,C,C4_exploratory_or_implementation,REMOVE,none,WAIVED,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.",Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.,Part 5
C4.6,C4.6,INVENTORY,C,C4_exploratory_or_implementation,REMOVE,none,WAIVED,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.",Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.,Part 5
C4.7,C4.7,INVENTORY,A,C4_exploratory_or_implementation,REMOVE,none,WAIVED,None; retain only for audit lineage.,"Do not propagate this Claim into manuscript prose, tables, figures, abstract, or contribution list.",Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.,Part 5
C1.2-R1,C1.2,REPLACEMENT,A,C1_joint_primary,RETAIN_PRIMARY,main_results,NOT_APPLICABLE,"Under the frozen muKG/FB15k-237/SimpleTransE/RTX3070 protocol, the declared GPU runtime path has 6.01x end-to-end epoch speedup (95% CI 5.94x–6.08x).","Do not imply quality equivalence, non-inferiority, generalization, DDP readiness, or hardware portability.",C1-R1 replacement has paired seed-level raw observations and simultaneous statistical support; original inventory entry is superseded.,Part 2
