claim_id,original_claim_id,grade,disposition,evidence_chain,independent_recompute,paper_safe_wording,failure_condition,upgrade_condition
C4.1-L,C4.1,C,HISTORICAL_PROTOCOL_LIMITED,Part1 C4.1 → Phase6 runtime_attribution.csv → all-batch SD recomputation and warm-up/partial sensitivity,15.5295 ms Baseline vs 3.4086 ms CBP all rows; 1.0509 vs 1.1285 ms after first/last exclusion,A single Phase6 trace showed lower all-batch dispersion under the historical cost-sorted layout; the effect disappears under a complete-batch estimand.,Do not report 78% as a validated CBP variance reduction.,Independent seed-grouped complete-batch repeats with a behaviorally distinct packer and pre-registered factor analysis.
C4.1-R1,C4.1,B,REANALYSIS_NO_COMPRESSION,Phase6 runtime_attribution.csv → fixed exclusion filters → population SD recomputation,"Complete interior rows: Baseline 1.0509 ms, CBP 1.1285 ms; CBP is approximately 7.4% higher.","After excluding the first warm-up and final short batch, the historical cost-sorted layout did not reduce Phase6 negative-sampling dispersion.",Single trace and no independent repeats prevent an A-level runtime conclusion.,"Six paired seeds, five measured epochs and a factor-isolated runtime estimand."
C4.2,C4.2,A,IMPLEMENTATION_FACT_ONLY,schedulers.py AST/source → BaseSorter/RandomSorter/CostSorter and BasePacker/ChunkPacker/FFDPacker,Both sorter classes and both packer classes exist; legacy FFD fixture equals Chunk fixture for all tested ordered inputs.,The prototype exposes composable sorter and packer interfaces; the existing FFD implementation is behaviorally equivalent to sequential chunking.,Do not call the four combinations behaviorally distinct without a new packer.,"A distinct packer implementation plus factorial evidence separating sorter, packer and interaction effects."
C4.3-L,C4.3,C,HISTORICAL_PROTOCOL_LIMITED,Phase9 Step4.5 variance CSV → pooled all-batch SD recomputation → partial-batch sensitivity,"Pooled SD: BL 29.4979 ms, CBP 27.0065 ms, 8.45% lower; this includes the final 2,115-sample batch.",The stored Phase9 trace shows a descriptive all-batch difference under its stated protocol; the pooled statistic is not the primary complete-batch estimand.,Do not treat three nested epochs in one process as independent repeats.,Unrounded complete-batch traces from independent paired seed groups.
C4.3-R1,C4.3,B,DESCRIPTIVE_REANALYSIS,Phase9 Step4.5 variance CSV → per-epoch full-batch ddof=0 SD → mean across three nested epochs,"Mean epoch SD: BL 9.2381 ms, CBP 2.4537 ms; descriptive reduction 73.44%.","Within this single process and its fixed layouts, excluding partial batches yielded lower descriptive per-epoch dispersion for the cost-sorted layout.",Rounded two-decimal observations and nested epochs do not support independent-repeat uncertainty.,"Six paired seeds, unrounded timing, unified seeds and pre-registered factorial contrasts."
C4.4,C4.4,C,SUMMARY_ONLY,Phase9 Step3 summary.csv → ten epoch summaries per configuration → seed/script lineage audit,Summary-level BL/CBP negative-time dispersion is similar; no per-step trace or independent repeat is available.,The ten-epoch summary does not establish a robust runtime-dispersion advantage for CBP.,Do not treat epochs as independent runs; process-dependent hash(label) seed remains unresolved.,"Independent processes, unified seeds and raw per-batch timings."
C4.5,C4.5,C,QUALITY_TRACEABILITY_ONLY,Phase9 Step2 summary.csv → five epochs and 200-sample training holdout → protocol scope audit,"Values are traceable but use a non-official, small sampled holdout and no qualified repeat design.",A five-epoch sampled training-holdout quality diagnostic was recorded; it does not establish quality equivalence or non-inferiority.,Exclude from C4 runtime contribution and do not use non-inferiority language.,A separately approved official evaluation protocol.
C4.6,C4.6,C,QUALITY_TRACEABILITY_ONLY,Phase9 Step2 CBP+GPU/GPU summaries → five-epoch sampled holdout → quality scope audit,Values are traceable but do not support CPU/GPU or CBP+GPU quality comparison.,The stored sampled diagnostic is retained for audit history only and is excluded from the paper quality argument.,Exclude from C4 runtime contribution and prohibit quality non-inferiority claims.,A separately approved official evaluation protocol with independent repeats.
C4.7-L,C4.7,B,MISATTRIBUTED_LAYOUT_METRIC,integration validation summary → batch_composition.csv → within-batch predicted-cost CV recomputation,"Stored .0552→.0124 values are reproducible, but the artifact measures static within-batch cost homogeneity.",The integration artifact records more homogeneous predicted costs within complete cost-sorted batches under its deterministic layout.,Do not call this inter-batch runtime balancing or a packing effect.,Behaviorally distinct packer and runtime traces with an explicit batch-balance estimand.
C4.7-R1,C4.7,A,DETERMINISTIC_LAYOUT_FACT,integration batch_composition.csv → full-batch filter → CV recomputation and cost-table degeneracy audit,108 complete CostSorter+sequential-chunk rows have mean within-batch predicted-cost CV 0.0; partial rows remain heterogeneous.,"Under the stored deterministic layout, complete cost-sorted batches have zero within-batch CV for the predicted cost table; this is a layout fact, not runtime balance evidence.",Do not infer sampler-time equalization or FFD causality.,None for the layout fact; runtime attribution requires a separate factorial experiment.
